icao,iata,synop,name,state,country,lat,lon,elev,priority,srcid
,,47911,YONAGUNI AIRPORT,,JA,24.4667,122.9833,17,5,47911
,,47918,ISHIGAKIJIMA,,JA,24.3367,124.1644,5,5,47918
,,47945,MINAMIDAITOJIMA,,JA,25.8289,131.2286,15,5,47945
,,47971,CHICHIJIMA,,JA,27.0922,142.1914,2,5,47971
,,47991,MINAMITORISHIMA,,JA,24.2883,153.9833,7,5,47991
,,78397,WINDSOR,,JM,17.9739,-76.9733,21,5,78397
,,1001,JAN MAYEN,,JN,70.9331,-8.6667,10,5,1001
,,40265,MAFRAQ,,JO,32.3667,36.25,683,5,40265
,,63612,LODWAR,,KE,3.1185,35.5903,502,5,63612
,,63741,DAGORETTI CORNER,,KE,-1.3012,36.7597,1796,5,63741
,,47041,HAMHEUNG,,KN,39.9333,127.55,39,5,47041
,,47058,PYONGYANG,,KN,39.0333,125.7833,36,5,47058
,,91610,TARAWA,,KR,1.35,172.9167,2,5,91610
,,47090,SOKCHO,,KS,38.2509,128.5647,17,5,47090
,,47098,DONGDUCHEON,,KS,37.9019,127.0607,115,5,47098
,,47101,CHUNCHEON,,KS,37.9026,127.7357,75,5,47101
,,47113,INCHEON INT'L AIRPORT,,KS,37.4667,126.4333,7,5,47113
,,47122,OSAN AB,,KS,37.0833,127.0333,11,5,47122
,,47132,ANMYEONDO,,KS,36.5167,126.3167,46,5,47132
,,47135,CHUPUNGNYEONG,,KS,36.2202,127.9946,245,5,47135
,,47138,POHANG,,KS,36.032,129.38,3,5,47138
,,47155,CHANGWON,,KS,35.1702,128.5728,35,5,47155
,,47158,GWANGJU AB,,KS,35.1167,126.8,12,5,47158
,,47169,HEUKSANDO,,KS,34.6872,125.451,75,5,47169
,,47185,GOSAN,,KS,33.2938,126.1628,71,5,47185
,,47186,NATIONAL TYPHOON CENTER,,KS,33.3315,126.6784,246,5,47186
,,47230,DEOKJEOKBUKRI,,KS,37.2645,126.103,12,5,47230
,,40582,KUWAIT INTERNATIONAL AIRPORT,,KU,29.2217,47.9658,46,5,40582
,,28951,KOSTANAI AS,,KZ,53.2993,63.6104,171,5,28951
,,28952,KOSTANAY,,KZ,53.2369,63.741,151,5,28952
,,35229,AKTOBE,,KZ,50.2579,57.2235,219,5,35229
,,35394,KARAGANDA,,KZ,49.8,73.15,552,5,35394
,,35671,ZHEZKAZGAN,,KZ,47.8,67.7167,344,5,35671
,,35700,ATYRAU,,KZ,47.1161,51.8836,-23,5,35700
,,36003,PAVLODAR,,KZ,52.2003,77.0702,120,5,36003
,,36870,ALMATY OGMS,,KZ,43.2394,76.9328,846,5,36870
,,36872,ALMATY AS,,KZ,46.3636,77.0045,660,5,36872
,,38064,AMS TASBOGET/KYZYLORDA AS,,KZ,44.7688,65.5265,127,5,38064
,,38341,TARAZ,,KZ,42.85,71.3,651,5,38341
,,73110,SHEARWATER UA  NS,,KZ,44.6319,63.5052,38,5,73110
,,26435,SKRIVERI,,LG,56.6425,25.1283,79,5,26435
,,26629,KAUNAS (26629-0),,LH,54.8839,23.8358,76,5,26629
,,11952,POPRAD-GANOVCE,,LO,49.0347,20.3233,703,5,11952
,,62010,TRIPOLI INTL ARPT,,LY,32.6833,13.1667,80,5,62010
,,62053,BENINA,,LY,32.1,20.2667,131,5,62053
,,62124,SEBHA,,LY,27.0167,14.45,435,5,62124
,,67027,MAHAJANGA,,MA,-15.6667,46.35,26,5,67027
,,67083,ANTANANARIVO/IVATO,,MA,-18.8,47.4833,1279,5,67083
,,67095,TOAMASINA,,MA,-18.1167,49.4,5,5,67095
,,67197,TAOLAGNARO,,MA,-25.0333,46.95,8,5,67197
,,44212,ULAANGOM,,MG,49.9714,92.0778,939,5,44212
,,44231,MUREN,,MG,49.6384,100.167,1291,5,44231
,,44259,CHOIBALSAN,,MG,48.117,114.5088,746,5,44259
,,44277,ALTAI,,MG,46.3762,96.2387,2180,5,44277
,,44288,ARVAIHEER,,MG,46.2591,102.789,1815,5,44288
,,44292,ULAANBAATAR,,MG,47.9184,106.8479,1303,5,44292
,,44373,DALANZADGAD,,MG,43.5772,104.4181,1462,5,44373
,,48811,DIEN BIEN,,ML,21.3572,0.0103,475,5,48811
,,61202,TESSALIT,,ML,20.2,0.9833,494,5,61202
,,61223,TOMBOUCTOU/TIMBUKTU,,ML,16.7167,-3.0,263,5,61223
,,61265,MOPTI,,ML,14.5167,-4.1,276,5,61265
,,61291,BAMAKO/SENOU,,ML,12.5333,-7.95,380,5,61291
,,60155,CASABLANCA,,MO,33.5667,-7.6667,56,5,60155
,,60191,BENI MELLAL SIDI JABER,,MO,32.3667,-6.4,468,5,60191
,,60253,TAROUDANT,,MO,30.5,-8.8167,264,5,60253
,,61995,VACOAS (MAURITIUS),,MP,-20.2975,57.4947,423,5,61995
,,61415,NOUADHIBOU,,MR,20.9203,-17.0364,0,5,61415
,,61442,NOUAKCHOTT / OUMTOUNSY,,MR,18.3003,-15.9754,2,5,61442
,,41256,MUSCAT INT'L AIRPORT,,MU,23.6087,58.2615,2,5,41256
,,41316,SALALAH AIRPORT,,MU,17.0346,54.0737,20,5,41316
,,43555,MALE,,MV,4.1917,73.5292,1,5,43555
,,43599,GAN,,MV,-0.6933,73.1556,1,5,43599
MMCU,CUU,76225,Chihuahua Intl,,MX,28.7,-105.97,1372,1,76225
,,76256,EMPALME; SON.,,MX,27.9573,-110.7973,10,5,76256
MMAN,MAN,76394,Monterrey,,MX,25.87,-100.23,448,5,MAN
,,76405,La Paz,,MX,24.1666666667,-110.3,18,8,76405
,,76458,COLONIA JUAN CARRASCO MAZATLAN,,MX,23.2173,-106.4111,3,5,76458
,,76526,ZACATECAS SONDEO,,MX,22.7465,-102.5066,2265,5,76526
MMUN,CUN,76595,Cancun Intl,,MX,21.03,-86.87,10,1,CUN
,,76612,GUADALAJARA; JAL.,,MX,20.7065,-103.3923,1554,5,76612
MMMD,MID,76644,Merida,,MX,20.98,-89.65,10,5,MID
,,76654,MANZANILLO; COL.,,MX,19.0445,-104.3185,2,5,76654
,,76679,AEROP. INTERNACIONAL MEXICO; D,,MX,19.4037,-99.1966,2337,5,76679
MMVR,VER,76692,Veracruz,,MX,19.15,-96.18,16,7,VER
,,76743,VILLAHERMOSA; TAB.,,MX,17.981,-92.9215,6,5,76743
,,76805,ACAPULCO; GRO.,,MX,16.7629,-99.7494,3,5,76805
,,76903,TAPACHULA; CHIS,,MX,14.8872,-92.2964,114,5,76903
,,48601,PENANG/BAYAN LEPAS,,MY,5.3,100.2667,2,5,48601
,,48615,KOTA BHARU,,MY,6.1667,102.3006,4,5,48615
,,48620,PERAK;SITIAWAN,,MY,4.2167,100.7,6,5,48620
,,48650,KUALA LUMPUR INTERNATIONAL AIR,,MY,2.7308,101.7031,16,5,48650
,,48657,KUANTAN,,MY,3.7722,103.2119,15,5,48657
,,96413,KUCHING,,MY,1.4903,110.3525,20,5,96413
,,96441,BINTULU,,MY,3.12,113.0246,23,5,96441
,,96471,KOTA KINABALU,,MY,5.9333,116.05,2,5,96471
,,96481,TAWAU,,MY,4.2667,117.8833,18,5,96481
,,96491,SANDAKAN,,MY,5.9,118.0667,12,5,96491
,,91592,NOUMEA (NLLE-CALEDONIE),,NC,-22.2761,166.4528,70,5,91592
,,94996,NORFOLK ISLAND AERO,,NF,-29.0389,167.9408,113,5,94996
,,61024,AGADEZ,,NG,16.9667,7.9833,501,5,61024
,,61052,NIAMEY-AERO,,NG,13.4833,2.1667,215,5,61052
,,61075,BIRNI-N'KONNI,,NG,13.8,5.25,272,5,61075
,,61090,ZINDER,,NG,13.7833,8.9833,451,5,61090
,,91557,BAUERFIELD (EFATE),,NH,-17.6947,168.3129,22,5,91557
,,65046,KANO,,NI,12.05,8.5333,472,5,65046
,,65125,ABUJA,,NI,9.0203,7.2746,354,5,65125
